Sender,Subject,Body,Attachment Saved
onlinepayment@sslcommerz.com,"Successful Transaction Notification - [Paid by Rajib Saha] INV6892F916CAF61
 [HAPPYHAAT]","SSLCommerz Secure Payment





























CongratulationA successful transaction is made through SSLCOMMERZ Gateway.Transaction IDINV6892F916CAF61Reference SSL ID250806125002sGZdHw5AjtEewTransaction Amount740.00 BDTTransaction Time2025-08-06 12:51:15Card TypeAMEX-City BankTransaction StoreHAPPYHAATTransaction MerchanthappyhaatCustomer InformationCustomer Name Rajib SahaCustomer Email rajibshaha@gmail.comCustomer Phone 01716759596 








                    
                        93 B, New Eskaton Road, Dhaka-1000
                        Phone: +880-9677-726222, +880-2-8316969
                        E-mail: support@sslcommerz.com
                        Web: www.sslcommerz.com









--",No Attachment
english-quora-digest@quora.com,=?utf-8?q?Why_is_vitamin_B12_so_dangerous=3F?=,"Why is vitamin B12 so dangerous?Most people are going to hate this but its the truth, please forgive me if I happen to offend you but I would rather speak the truth and save your life. Vitamin B12 also called Cobalamin is extr… Top stories for Support Why is vitamin B12 so dangerous?Matthew Kireken, former Doctor Who Genuinely Loves People • Answered July 28Most people are going to hate this but its the truth, please forgive me if I happen to offend you but I would rather speak the truth and save your life. Vitamin B12 also ca... Read more »14440 I married a US citizen one week after I arrived with a tourist visa and applied for a green card after 60 days. What should I do?Gaku Sato, Formalist. • Updated October 7, 2023So… get a lawyer? No, no, no, go back in time and consult a lawyer before you did any of that. USCIS no longer has a day rule. Used to be 30, 60, then 90 days. If you arrive... Read more »2.4K348 How do scammers use WhatsApp to scam you?Yunus Cey, former Quora Writer (2021-2024) • Answered July 16̠I̠ ̠d̠̠o̠̠n̠’̠t̠ ̠e̠̠v̠̠e̠̠n̠ ̠k̠̠n̠̠o̠̠w̠ ̠w̠̠h̠̠e̠̠r̠̠e̠ ̠t̠̠o̠ ̠b̠̠e̠̠g̠̠i̠̠n̠. ̠I̠’̠v̠̠e̠ ̠b̠̠e̠̠e̠̠n̠ ̠w̠̠i̠̠t̠̠h̠ ̠t̠̠h̠̠i̠̠s̠ ̠w̠̠o̠̠m̠a̠̠n̠ ̠f̠̠o̠̠r̠ ̠s̠̠i̠̠x̠ ̠y̠... Read more »8720 Is Lexapro a great antidepressant?Jack J Wu, M.D. from Duke University School of Medicine (2004) • Answered July 25Lexapro is also called escitalopram. It was the last SSRI invented on the market so the drug reps pushed it hard. They pushed it so hard that most primary care doctors I kn... Read more »8334 Do you like your name?Pragya Rajput, Learner • Answered November 4, 2024Hey you all ❤️ Hope you are doing amazing and if not then don't worry eventually you will 🙌 Absolutely, I love my name! Whenever someone asks, ""What's your name?"" I proudly ... Read more »302189 My husband is 84 and I am 77. My 60-year-old daughter and her 27 year old daughter want to move in with us. Is this a good idea?Asked in Aging with an Attitude • Answered by Ralph Nhatrang • July 8No no, no. My wife and I are in our 60s and 70s. During covid we had our son, daughter in law and baby grandson stay with us for over two years. Never again! They were cons... Read more »2.5K50 Which grammar is correct: “Did he close door?“ or “Did he closed the door?”?Will Pasto, lives in Georgia • Updated October 14, 2023Neither one is correct. The verb “did” is an auxiliary verb and is the past tense of “do.” Further, when using an auxiliary verb (do, be, have) then the primary verb is in t... Read more »2.5K379 What is the salary after SSC CGL?Satyam, Inspector at Central Board of Excise and Customs (2023-present) • Answered July 1I have been working as a GST Inspector which is 4600 grade pay post. So, i will tell you what salary you will get if you join a 4600 grade pay post. Basic Pay - 46200 Dearnes... Read more »27154 Can the bank sue you for spending funds deposited into your account due to bank error?MaryAnne Cook • Answered September 11, 2024I once had a couple thousand dollars deposited in my account. I was very young but I knew that there was no conceivable way that I put that money there. It was NOT mine. I j... Read more »1.9K125 Do Turkish Muslims drink alcohol and eat pork?Bana Sorma, knows German • Answered January 28, 2021Majority of Turks don’t eat pork due to the 2 reasons: Majority of Turks are Muslims,Pork is not in our traditional Turkish cuisine. Pork is an exotic meat in our culture.Ma... Read more »680 My blood pressure has been around 165/91 for the past 4-5 days. I do not want to start taking medications, instead, I'm trying to use natural remedies to reverse it. What are the likely consequences?Norman Gross, Managing Member (2000-present) • Answered July 1Assuming you are adult age, an average BP reading of 120/80 or lower is normal, while 165/91 is abnormally and considerably high. If you are a senior age person like me, you... Read more »44653 Why is Canada letting too many Indians in Canada?Chintan Chheda • Updated April 23As an Indian who visited Canada on vacation , I was shocked to see so many Indians there. Most of the Indians in Canada were not skilled, educated or have basic etiquettes.... Read more »1.4K477Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
onlinepayment@sslcommerz.com,Daily Transaction Report - 2025-08-06,"SSLCommerz Secure Payment































Transaction Report Date: Wed, 06 Aug 2025
[ 12:00 AM to 11:59 PM ]

Merchant Store ID: happyhaat0live



Transaction
Amount
Card
Bank
Status
Time
IP Country
Card Number/Ref Id


INV6892F916CAF61
740.00
AMEX
City Bank PLC
SUCCESS
2025-08-06 12:50:02
103.230.63.94Bangladesh
376947XXXXXX3037





**This is a System Generated Reporting email to update your daily transaction list. For any query please email operation@sslcommerz.com











                    
                        93 B, New Eskaton Road, Dhaka-1000
                        Phone: +880-9677-726222, +880-2-8316969
                        E-mail: support@sslcommerz.com
                        Web: www.sslcommerz.com",No Attachment
english-quora-digest@quora.com,"=?utf-8?q?I_actually_need_help=2C_I_forgot_my_roblox_account_that_I_created_?=
 =?utf-8?q?in_2019_and_I_don=27t_re=2E=2E=2E?=","I actually need help, I forgot my roblox account that I created in 2019 and I don't re...I actually need help, I forgot my roblox account that I created in 2019 and I don't remember it having a phone number or email linked with that account. Please help me recover that account as … Top stories for Support Vee, I'm just a girl 🎀 • Posted Jun 22I actually need help, I forgot my roblox account that I created in 2019 and I don't remember it having a phone number or email linked with that account. Please help me recover that account as I'm a... Read more »6420 How was your SSC CGL 2024 pre exam?Prateek Panwar, Central Excise Inspector, CBIC • Answered April 14SSC CGL 2024 My pre exam was on 10th September, 2024 (3rd shift) Reasoning- 43/50 GA- 33/50... Read more »7218 Are narcissists intimidated by no contact?Asked in Relationship with Narcissist • Answered by Edward Tierney • April 4Initially they will think you are playing a game, trying to be brave, and trying to teach them a lesson. Since they always win at those games, they will simply wait you out... Read more »44337 What is ABCDEFGH?Gopalkrishna Vishwanath, No formal qualifications for teaching English.Just 60 years experience using it • Answered July 5After fifteen years of marriage a wife asked her husband to describe her. The Husband said: ABCDEFGH! Wife: What does that mean? Husband: Adorable, Beautiful, Cute, Delightful... Read more »1.7K88 CM, former Employee at Google+ • Posted May 27UK: Parliament to debate Halal slaughter ban after petition reaches 100,000 signatures. The Muslim Council of Britain warns this could lead to a Muslim exodus from the country. Should Halal slaughter... Read more »2.6K707 Are cucumbers healthy for you?Sunita Meena, Entrepreneur Business Coach at Sunita international (2022-present) • Answered July 24BENEFITS OF EATING CUCUMBER - Cucumber is mostly water, so it helps keep your body hydrated. - It has very few calories, which makes it a great choice for people trying to lo... Read more »1857 Can I keep my cat in a room all the time?Brooke Narejo, lives in Karachi, Sindh, Pakistan • Answered October 9, 2017No, you should not. The cat will literally go insane or into a deep depression. Twenty years ago I went to see a friend I hadn’t seen for a few years. I went into the laund... Read more »6.6K573 Which is correct, knock on the door or knock at the door?Mike Mendis, former Editor • Updated July 8Which is correct, knock on the door or knock at the door?Both are correct. They mean slightly different things and are used for different purposes. If we are telling the som... Read more »15617 If IRCC conducts an investigation, can they request for a list of my transactions from the bank?Kathy O, studied at Westerra Institute of Technology • Answered July 20If your financial transaction information is required to make a decision about your visa application, then yes, IRCC can request a list of your transactions from your bank.... Read more »464 I accidentally charged my phone to 100% because I forgot to disconnect the charger. How harmful is that for my battery?Chuck Rogers, Been using mobile technology since it was two cans and a string. • Updated November 5, 2024It astonishes me that people still think there is some advantage to not charging your battery all the way. Charge your battery to 100%. Leave the charger plugged in as much ... Read more »9.1K354 If Krav Maga is so effective, why is it not featured in MMA fights?Robert Rose, MMA & Self Defence Instructor • Answered May 29The rest of the commenters seem to be going down the “it's too dangerous for mma"" route. This has a grain of truth in it but isn't the main reason. As a black belt that has ... Read more »659103 Is a colonoscopy as bad as they say?Jim Lasswell, former Marine Corps • Answered April 2I chose no sedation. Staff said around a dozen per year at that facility do that. Prep is bearable. No pain from the procedure, just pressure. I was more worried about the ... Read more »578169Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
googlebase-noreply@google.com,"Happy Haat, your performance for July 2025","Monthly performance report




















See your performance on Google and ways to improve‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍ 




















































Your customer ID: 5460700177












































Your business performance for July 2025






































How your products performed



































Clicks




38




-35.6%*

































Impressions




5.02K




-49.6%*

































CTR




0.8%




+27.8%*



































*Compared to June 2025

























Your popular products































































Avocado (2 KG)












15 clicks























































Fazli (5 kg)












6 clicks























































Happy China-3 Lychee












3 clicks





































See performance






































Product status

























Some of your products aren't showing to customers. Fix product issues to show them on Google.

































Not approved




1





















Limited




0





























Approved




0





















Under review




51

































Fix issues






































Improve your performance in August 2025




































Build trust with your customer service












Please validate information about your customer support channels so that customers can connect with you easily.
Learn more about managing customer service channels
















Manage Details

























































See more recommendations in Merchant Center.




































































© 2025 Google LLC 1600 Amphitheatre Parkway,Mountain View, CA 94043www.google.com















You have received this email because you opted to receive reporting updates from Google Merchant Center. If you do not wish to receive such emails in the future, you can unsubscribe here.",No Attachment
english-quora-digest@quora.com,=?utf-8?q?Can_you_take_vitamin_B12_every_day=3F?=,"Can you take vitamin B12 every day?Short answer: YES. Vitamin B-12 is considered generally safe. The recommended daily amount of vitamin B-12 for adults is 2.4 micrograms. But the good news is that even higher doses are generally… Top stories for Support Can you take vitamin B12 every day?Siya M, Writer • Answered June 17Short answer: YES.Vitamin B-12 is considered generally safe. The recommended daily amount of vitamin B-12 for adults is 2.4 micrograms. But the good news is that even high... Read more »1867 Will my deceased wife wait for me in the afterlife?Tessa Lynne, Therapist and author of The Invisible Choir (1984-present) • Answered January 28The spirits of deceased loved ones do not simply wait for those they left behind, but neither do they forget about them. Your wife’s spirit will spend somewhere from several... Read more »462204 What is the salary after SSC CGL?Satyam, Inspector at Central Board of Excise and Customs (2023-present) • Answered July 1I have been working as a GST Inspector which is 4600 grade pay post. So, i will tell you what salary you will get if you join a 4600 grade pay post. Basic Pay - 46200 Dearnes... Read more »28657 Can I recover From meth addiction?Ant Gan, former Crystal Specialist at Aincents of days (2020) • Answered November 16, 2024I recommend sleeping for A few days, Then get A really strong cup of coffee. Anytime you feel A urge just drink A cup of coffee. If you have any “ friends ” that do meth, T... Read more »921390 Can dogs smell evil someone or human?Asked in Dog lovers • Answered by Karen McEuen-Novak • June 10Yes! Absolutely! Here is a prime example. I was selling a large-screen TV, and I put an ad online. A man came over to buy the TV and my late dog, Annie, a Pit bull, immediat... Read more »2.4K237 Abul Hasan • Posted Jun 14, 2024BIG BREAKING NEWS 🚨 PM Modi said ""For the first time, I am telling Muslim community to introspect"" ""If you keep thinking that you will decide who will be in power & who will be dethroned, you will ... Read more »3.1K410 What do very old people enjoy?Bob PORTER, former Production Manager at Newspaper Printers (1971-2005) • Answered March 23I am 79yrs old as is my wife, that's old. There are some disingenuous answers to this question ( bullshitters) The reality of old age enjoyment is primarily down to a coupl... Read more »3.7K219 I am diabetic type 2, HbA1c is 7.3, feel tiredness especially in the morning, and feel laziness. How do I solve this?Asked in Fitness & Healthy Foods • Answered by Craig Kelly • July 6Alternate day ‘dirty’ fasting can often greatly improve or ever cure this. You probably haven’t heard about this before, because it’s completely free. No medications involv... Read more »31034 Why are Abrams tanks dropping like flies in Ukraine? The fifth (or even sixth, according to some accounts) one was destroyed a few days ago.Roland Bartetzko, Logistics in Ukraine (2022-present) • Answered February 15Around 50% of the 31 M1 Abrams tanks the U.S. has sent to Ukraine have been either destroyed or damaged beyond repair. This is indeed a significant number. In comparison, of... Read more »6.8K383 If Tony Stark died while inside his Iron man suit, how will the suit respond?Asked in MarvelHolics • Answered by Matt Ferreira • July 8We saw this in Endgame. After Tony made his sacrifice with the snap he was borderline unresponsive. When Pepper asked F.R.I.D.A.Y. about his status and she replied “life fu... Read more »1.3K57 Are colonoscopies really necessary?Harry Keller, President & Chief Science Officer (1999-present) • Answered April 20My daughter is somewhat of a hypochondriac. She had a colonoscopy at the earliest age allowed. I think it was 45. It found stage 3 colon cancer. She had surgery that remove... Read more »920161 What is the biggest sin that God does not forgive in Christianity?Joe Zion, Statistician • Updated TueThere are only two sins that God does not forgive, and it's possible they are one and the same: Blasphemy of the Holy Spirit (Matthew 12:31-32). Interpretations differ on wh...Read more »2.3K905Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
sugaya.shunki@atb-jobs.com,"=?utf-8?Q?=E2=9A=A1?= 10 Skilled Software Engineers
 =?utf-8?Q?=E2=80=93?= Ready to Join Your Team","Hi Happy Haat,








🚀 10 Skilled Software Engineers Ready to Join!
We've curated 10 top-tier software engineering candidates with expertise in full stack, mobile, cloud, security and more. Hire them today!
Contact Us to Hire






 








Full Stack Developer
5+ years experience
JavaScript, React, Node.js


 


Backend Engineer
4 years experience
Java, Spring Boot, MySQL








 








Mobile Developer
6 years experience
Flutter, Kotlin


 


Frontend Engineer
3 years experience
Angular, TypeScript








 








Cloud Engineer
7 years experience
AWS, Kubernetes, Docker


 


Data Engineer
5 years experience
Python, Apache Spark








 








DevOps Engineer
4 years experience
CI/CD, Jenkins, Terraform


 


Software Architect
8 years experience
Microservices, Scalability








 








QA Automation Engineer
3 years experience
Selenium, Cypress


 


Security Engineer
6 years experience
Penetration Testing








 







Need specialized tech talent?
Contact Us to Hire






 







© 2025 atB Jobs. All rights reserved.









Warm regards,
The atB Jobs Team
This is a system generated message. Do not reply.










atB Jobs Bangladesh
11th Floor, MMK-Aakash Avenue, Plot No. 12, Kamal Ataturk Avenue, Gulshan-2, Dhaka-1212, Bangladesh
+8801400492818
info@atb-jobs.com






    Don't want any more emails? 
    
       Unsubscribe here",No Attachment
events@10times.com,"support, =?UTF-8?B?SXTigJlzIFRpbWUg4oCTIEV4cGxvcmUgV2hhdOKAmXM=?=
 Coming Next!","Hey support happyhaat ✨We’re excited to have you on board. Take a look at events curated specially for you as per your interests in Agriculture & Forestry. If you have any questions, feel free to reply to this email directly—we’re here to help.
🌍 Global Events to ExploreCanadian National Exhibition📅 15 Aug - 01 Sep 2025  📍 Toronto, Canada 👥 10k Members
Interested

 🔗
 
Agra Middle East Exhibition📅 06 - 07 Oct 2025  📍 Dubai, United Arab Emirates 👥 2k Members
Interested

 🔗
 
Canadian Greenhouse Conference📅 08 - 09 Oct 2025  📍 Niagara Falls, Canada 👥 1k Members
Interested

 🔗
 
International Conference on Agricultural and Biolo..📅 09 - 10 Oct 2025  📍 New York, United States 👥 1k Members
Interested

 🔗
 
AgrochemEx📅 13 - 15 Oct 2025  📍 Shanghai, China 👥 783 Members
Interested

 🔗
 
International Floriculture Trade Fair📅 04 - 06 Nov 2025  📍 Vijfhuizen, Netherlands 👥 818 Members
Interested

 🔗
 
Agri-Trade Equipment Expo📅 05 - 07 Nov 2025  📍 Red Deer, Canada 👥 1k Members
Interested

 🔗
 
International Conference on Agriculture, Forestry,..📅 20 - 21 Aug 2025  📍 Istanbul, Turkey 👥 581 Members
Interested

 🔗
 
AgQuip Field Days📅 19 - 21 Aug 2025  📍 Gunnedah, Australia 👥 179 Members
Interested

 🔗
 
🌇 More Must-Attend EventsMedical & PharmaWPE & WHPE ★📅 17 - 19 Sep 2025  📍 Xi'an, China 👥 620 Members
Interested

 🔗
 
Food & BeveragesBakery China Autumn & China Home Baking Show ★📅 17 - 19 Oct 2025  📍 Wuhan, China 👥 509 Members
Interested

 🔗
 
Food & BeveragesUK Food & Drink Shows ★📅 13 - 15 Apr 2026  📍 Birmingham, United Kingdom 👥 1k Members
Interested

 🔗
 

Not seeing relevant events? 

✏️ Change what categories you like

Advertisement





Unsubscribe From This List | Manage Email Subscription",No Attachment
english-quora-digest@quora.com,"=?utf-8?q?I_just_turned_28=2C_but_I_feel_that_my_face_is_becoming_dull_and_b?=
 =?utf-8?q?lack=2E_Why=3F?=","I just turned 28, but I feel that my face is becoming dull and black. Why?Just follow these tips for 3 months. Since I'm of your same age I hope I can suggest you something based on my research. When you get aged. The major problem for dullness is facial skin losing … Top stories for Support I just turned 28, but I feel that my face is becoming dull and black. Why?Ranjith B • Answered June 7, 2020Just follow these tips for 3 months. Since I'm of your same age I hope I can suggest you something based on my research. When you get aged. The major problem for dullness is... Read more »1.5K40 What is ABCDEFGH?Gopalkrishna Vishwanath, No formal qualifications for teaching English.Just 60 years experience using it • Answered July 5After fifteen years of marriage a wife asked her husband to describe her. The Husband said: ABCDEFGH! Wife: What does that mean? Husband: Adorable, Beautiful, Cute, Delightful... Read more »1.8K92 If IRCC conducts an investigation, can they request for a list of my transactions from the bank?Kathy O, studied at Westerra Institute of Technology • Answered July 20If your financial transaction information is required to make a decision about your visa application, then yes, IRCC can request a list of your transactions from your bank.... Read more »474 I'm a fan of Turkish movies. I hear them use the word "" Jackson"" a lot. What does ""Jackson"" mean in the Turkish language?Bora Bali, Turkish Language Teacher • Updated May 31A2A. I'm a fan of Turkish movies. I hear them use the word "" Jackson"" a lot. What does ""Jackson"" mean in the Turkish language?I think you're hearing a part of the future te... Read more »1.5K100 My puppy is very sad, but I don't want to give him away. She's like crying silently every night beside our bedroom door. What's the right thing to do?Sugar Shane, former Bio-Chemistry at Los Alamos National Laboratory (2000-2017) • Answered November 19, 2024I was ignorant on my first Siberian Husky Puppy, five weeks old and he cried and cried. Sadly, I was a jerk then and I swatted him and yelled at him to shut up. The next day... Read more »87189 How many pull-ups can an average man do?Mike Richmond, Fitter than average, less fit than I could be. • Answered July 18Zero. I would be amazed if more than 25% of the adult male population could do 1 strict pull up, and I wouldn’t be surprised if it were more like 15%. Perhaps half of 18–30 y... Read more »353117 If USPS says the package was seized by law enforcement, what should I do?Stephen Haban, just a guy with his opinions and some self research • Answered October 24, 2017Well that depends. If you ordered something illegal don't do anything. They will either keep the package and not bother you, or they will be contacting you soon. If you did... Read more »3.1K797 Is it grammatically correct to say, ""Sam and I have the same age""?Mike Mendis, former Editor • Updated November 28, 2024Is it grammatically correct to say, ""Sam and I have the same age""?It is grammatically correct, but we do not use it in English in a sentence like this one. When we are talk... Read more »43548 Will Poland soon become economically and militarily stronger than Spain and Italy?Riccardo Sciolti, 40 years in logistics, life-long history fan • Updated May 21Economically? Poland's GDP is little more than one third of Italy’s and about half of Spain’s. A lot of catching up, despite Poland honestly doing well (specially compared ...Read more »566135 My credit score is 540. How can I buy a house?Joe Parsons, Originating mortgages in the SF Bay Area for 34 years • Updated September 18, 2024Technically, you can buy a house with a score as low as 500 using an FHA loan and a minimum of a 10% down payment. But here’s the thing. A 540 score shows that you don’t hav... Read more »1K270 Are colonoscopies really necessary?Harry Keller, President & Chief Science Officer (1999-present) • Answered April 20My daughter is somewhat of a hypochondriac. She had a colonoscopy at the earliest age allowed. I think it was 45. It found stage 3 colon cancer. She had surgery that remove... Read more »921161 What is the difference between a Ph.D., Dr., Prof., and professor?William Beeman, Professor and Chair, University of Minnesota • Answered July 17A Ph.D.. degree is a doctoral degree. All Ph.D. holders can be addressed as Doctor. There are other kinds of Doctoral degrees as well, including medical degrees, M.D. being... Read more »40424Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
no-reply@mail.instagram.com,"happyhaatbd, see mou_arna, tabassum_farhana_chowdhury_ and more in your feed","Facebook New people to discoverSuggested acccounts based on your interests: mou_arna, tabassum_farhana_chowdhury_, and 4 others.Open InstagramSuggested for youSee allArna Moumou_arnaView profileTabassum  Farhana Chowdhurytabassum_farhana_chowdhury_View profilePingkon Augustine Rozariopingkon_augustineView profileRadim Rahmanradim__rahmanView profileAhmed EbcatullsView profileUmme Halima Shampaummehalima_shampaView profile1You have 1 notification that you may not have seen.    © Instagram. Meta Platforms, Inc., 1601 Willow Road, Menlo Park, CA 94025, USThis message was sent to support@happyhaat.com and intended for happyhaatbd. If you don't want to receive these emails from Instagram in the future, please unsubscribe.",No Attachment
english-quora-digest@quora.com,=?utf-8?q?What_is_ABCDEFGH=3F?=,"What is ABCDEFGH?After fifteen years of marriage a wife asked her husband to describe her. The Husband said: ABCDEFGH! Wife: What does that mean? Husband: Adorable, Beautiful, Cute, Delightful, Elegant, Fashi… Top stories for Support What is ABCDEFGH?Gopalkrishna Vishwanath, No formal qualifications for teaching English.Just 60 years experience using it • Answered July 5After fifteen years of marriage a wife asked her husband to describe her. The Husband said: ABCDEFGH! Wife: What does that mean? Husband: Adorable, Beautiful, Cute, Delightful... Read more »1.9K92 What's the best way to build testosterone?Raza Ekhsan Mulyana, Copywriter, Ghostwriter (2023-present) • Answered April 14Building testosterone isn’t hard. But most people don’t know how. The worst part? Most people's habits lower testosterone without them knowing, which leads to:... Read more »47213 My name is David Ndudi. I am black. I'm from Nigeria. How do you help me?Ivo Mujičinovič, Ivo the Nigerian Romance Scammer-Hunter! • Answered May 12Nice to meet you David! My name is Ivo from West Slovenia 🇸🇮, Central Europe I am a scam victim from a Nigerian Romance Scammer from Lagos currently an active Nigerian Scam... Read more »527694 Is vaping better than smoking?Thomas Cayne, Writer, painter, thinker, madman. • Answered February 27Vaping indeed is much less harmful than smoking. But that is also the very reason why it is more dangerous than you might be inclined to think. And no, vaping does not cause... Read more »27462 How long after death does it take for the spirit to leave the body?Sharon Rasmussen, Bachelors BBA General & Real Estate, Northwood University • Answered April 18, 2024I was in the room with my husband in the hospital. He had been in a coma for several days. The nurse and I were talking and I looked over at my husband. I heard him say he ... Read more »2.8K274 My puppy is very sad, but I don't want to give him away. She's like crying silently every night beside our bedroom door. What's the right thing to do?Sugar Shane, former Bio-Chemistry at Los Alamos National Laboratory (2000-2017) • Answered November 19, 2024I was ignorant on my first Siberian Husky Puppy, five weeks old and he cried and cried. Sadly, I was a jerk then and I swatted him and yelled at him to shut up. The next day... Read more »91292 My blood test today showed a PSA of 12.9. Is there any medicine that my urologist can give me that will lower it?Terrence Trussell • Updated FriMr Wright, I’ve been where you are. In 2016 my PSA measured 20. Biopsy showed metastatic prostate cancer. DO NOT WAIT AROUND! At your level, if you have cancer there is about... Read more »9529 What was Trump’s GPA at Wharton?Matt Slezak, Post Grad Certificate Finance and Accounting, The Wharton School (2007) • Updated November 30, 2024Donald Trump did 2 years at Fordham then transferred into Wharton undergrad. When I was there I looked him up in the alumni directory, he was listed 11 years ago. He has al... Read more »4.2K1K At what point is Metformin no longer considered a safe option for diabetes management, especially in relation to kidney function?Siva Kumar Bachoti, former Software Quality Assurance Manager • Updated July 18I used to take metformin 500mg per day. I keep tracking my FBS/PPBS and HBA1C regularly. My doctor told me, metformin works by increasing metabolism (thus, burning more sug... Read more »39660 How bad is life in China?Ryan Fernandez, Former liberal turned libertarian • Updated July 16I'll start by saying that I'm not Chinese, but my wife is. She was born and raised in mainland China. I've been traveling to China extensively since 2000 and have been marr... Read more »409101 What happens if your card is declined at a restaurant and you’ve already eaten the food?Martin Thomas • Answered July 21Happened to me in Vienna, Austria. Was there with my son and we ate for approximately 100 USD. Card did not work, I had no cash. I was very embarrassed, but they waiter jus... Read more »95438 I do meditation daily but still my mind does not remain cool and calm. What is the reason behind it?Bharat Sharman, Yog Sadhna for 34 yrs Disciple of Guru Swami Charananandam • Updated August 3The reason is simple : You are doing everything, but meditation. If you are sitting for something like an hour, my answer here is absolutely to the point. A calm, composed a... Read more »17037Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
